,payment_type_id,internet_service_type_id,customer_id,contract_type_id,paperless_billing,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type_id,paperless_billing,monthly_charges,total_charges,churn,internet_service_type,payment_type
15,4,2,0020-INWCK,3,Yes,Female,0,Yes,Yes,71,Yes,Yes,No,Yes,Yes,No,No,Yes,3,Yes,95.75,6849.4,No,Fiber optic,Credit card (automatic)
16,2,1,0020-JDNXP,2,No,Female,0,Yes,Yes,34,No,No phone service,Yes,No,Yes,Yes,Yes,Yes,2,No,61.25,1993.2,No,DSL,Mailed check
17,1,2,0021-IKXGC,1,Yes,Female,1,No,No,1,Yes,Yes,No,No,No,No,No,No,1,Yes,72.1,72.1,No,Fiber optic,Electronic check
18,4,1,0022-TCJCI,2,No,Male,1,No,No,45,Yes,No,Yes,No,Yes,No,No,Yes,2,No,62.7,2791.5,Yes,DSL,Credit card (automatic)
19,1,1,0023-HGHWL,1,Yes,Male,1,No,No,1,No,No phone service,No,No,No,No,No,No,1,Yes,25.1,25.1,Yes,DSL,Electronic check
20,1,3,0023-UYUPN,2,No,Female,1,Yes,No,50,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,25.2,1306.3,No,None,Electronic check
21,1,2,0023-XUOPT,1,No,Female,0,Yes,No,13,Yes,Yes,No,Yes,Yes,No,Yes,No,1,No,94.1,1215.6,Yes,Fiber optic,Electronic check
22,1,2,0027-KWYKW,1,Yes,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,No,Yes,No,1,Yes,83.75,1849.95,No,Fiber optic,Electronic check
23,2,3,0030-FNXPP,1,No,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,19.85,57.2,No,None,Mailed check
24,2,3,0031-PVLZI,1,No,Female,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,20.35,76.35,Yes,None,Mailed check
25,3,1,0032-PGELS,1,No,Female,0,Yes,Yes,1,No,No phone service,Yes,No,No,No,No,No,1,No,30.5,30.5,Yes,DSL,Bank transfer (automatic)
26,3,2,0036-IHMOT,2,Yes,Female,0,Yes,Yes,55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2,Yes,103.7,5656.75,No,Fiber optic,Bank transfer (automatic)
27,4,3,0040-HALCW,3,No,Male,0,Yes,Yes,54,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,20.4,1090.6,No,None,Credit card (automatic)
28,3,3,0042-JVWOJ,2,Yes,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,19.6,471.85,No,None,Bank transfer (automatic)
29,3,3,0042-RLHYP,3,No,Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,19.7,1396.9,No,None,Bank transfer (automatic)
30,4,2,0048-LUMLS,2,No,Male,0,Yes,Yes,37,Yes,No,No,No,No,No,Yes,Yes,2,No,91.2,3247.55,No,Fiber optic,Credit card (automatic)
31,3,3,0048-PIHNL,2,No,Female,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,20.45,900.9,No,None,Bank transfer (automatic)
32,3,2,0052-DCKON,2,No,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,No,115.8,7942.15,No,Fiber optic,Bank transfer (automatic)
33,1,3,0052-YNYOT,2,No,Female,0,No,No,67,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,20.55,1343.4,No,None,Electronic check
34,4,1,0056-EPFBG,3,Yes,Male,0,Yes,Yes,20,No,No phone service,Yes,No,Yes,Yes,No,No,3,Yes,39.4,825.4,No,DSL,Credit card (automatic)
35,1,3,0057-QBUQH,3,Yes,Female,0,No,Yes,43,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,25.1,1070.15,No,None,Electronic check
36,3,2,0058-EVZWM,1,Yes,Female,0,Yes,No,55,Yes,Yes,Yes,No,No,No,Yes,No,1,Yes,89.8,4959.6,No,Fiber optic,Bank transfer (automatic)
37,1,2,0060-FUALY,1,Yes,Female,0,Yes,No,59,Yes,Yes,Yes,Yes,No,No,Yes,No,1,Yes,94.75,5597.65,No,Fiber optic,Electronic check
38,3,3,0064-SUDOG,3,No,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,20.3,224.5,No,None,Bank transfer (automatic)
39,3,2,0064-YIJGF,1,Yes,Male,0,Yes,Yes,27,Yes,Yes,No,No,No,No,No,No,1,Yes,75.75,1929,No,Fiber optic,Bank transfer (automatic)
40,1,1,0067-DKWBL,1,Yes,Male,1,No,No,2,Yes,No,Yes,No,No,No,No,No,1,Yes,49.25,91.1,Yes,DSL,Electronic check
41,2,1,0068-FIGTF,2,No,Female,0,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2,No,78.2,2078.95,No,DSL,Mailed check
42,4,3,0071-NDAFP,3,No,Male,0,Yes,Yes,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,25.5,630.6,No,None,Credit card (automatic)
43,3,1,0074-HDKDG,2,Yes,Male,0,Yes,Yes,25,Yes,No,Yes,Yes,Yes,No,No,No,2,Yes,61.6,1611,No,DSL,Bank transfer (automatic)
44,2,1,0076-LVEPS,1,Yes,Male,0,No,Yes,29,No,No phone service,Yes,Yes,Yes,Yes,No,No,1,Yes,45.0,1242.45,No,DSL,Mailed check
45,3,1,0078-XZMHT,3,Yes,Male,0,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,Yes,85.15,6316.2,No,DSL,Bank transfer (automatic)
46,4,1,0080-EMYVY,2,No,Female,0,No,No,14,Yes,No,No,Yes,No,No,No,No,2,No,51.45,727.85,No,DSL,Credit card (automatic)
47,1,2,0080-OROZO,2,Yes,Female,0,No,No,35,Yes,No,No,No,Yes,Yes,Yes,Yes,2,Yes,99.25,3532,No,Fiber optic,Electronic check
48,2,1,0082-LDZUE,1,Yes,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,1,Yes,44.3,44.3,No,DSL,Mailed check
49,1,2,0082-OQIQY,1,Yes,Male,0,No,No,29,Yes,No,No,No,No,Yes,Yes,Yes,1,Yes,94.2,2607.6,No,Fiber optic,Electronic check
50,1,1,0083-PIVIK,2,No,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2,No,81.25,5567.55,No,DSL,Electronic check
51,4,2,0089-IIQKO,1,Yes,Female,0,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,Yes,1,Yes,99.95,3767.4,No,Fiber optic,Credit card (automatic)
52,1,2,0093-EXYQL,1,Yes,Female,1,No,No,40,Yes,No,No,No,No,No,Yes,Yes,1,Yes,91.55,3673.6,No,Fiber optic,Electronic check
53,4,2,0093-XWZFY,1,Yes,Male,0,No,No,40,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,Yes,104.5,4036.85,Yes,Fiber optic,Credit card (automatic)
54,1,2,0094-OIFMO,1,Yes,Female,1,No,No,11,Yes,No,No,Yes,No,No,Yes,Yes,1,Yes,95.0,1120.3,Yes,Fiber optic,Electronic check
55,1,1,0096-BXERS,1,No,Female,0,Yes,No,6,Yes,Yes,No,No,No,No,No,No,1,No,50.35,314.55,No,DSL,Electronic check
56,2,1,0096-FCPUF,1,Yes,Male,0,No,No,30,Yes,Yes,Yes,No,No,No,No,Yes,1,Yes,64.5,1888.45,No,DSL,Mailed check
57,1,3,0098-BOWSO,1,Yes,Male,0,No,No,27,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,19.4,529.8,No,None,Electronic check
58,1,2,0100-DUVFC,2,Yes,Male,1,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Yes,2,Yes,104.8,7308.95,No,Fiber optic,Electronic check
59,3,2,0103-CSITQ,2,Yes,Female,0,Yes,No,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2,Yes,109.4,6252.7,No,Fiber optic,Bank transfer (automatic)
60,4,1,0104-PPXDV,2,No,Male,0,Yes,No,58,Yes,No,No,No,Yes,No,No,No,2,No,50.3,2878.55,No,DSL,Credit card (automatic)
61,3,1,0106-GHRQR,1,Yes,Male,0,No,No,16,Yes,Yes,No,Yes,Yes,No,No,Yes,1,Yes,71.4,1212.1,No,DSL,Bank transfer (automatic)
62,1,2,0106-UGRDO,3,Yes,Female,0,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,116.0,8182.85,No,Fiber optic,Electronic check
63,1,3,0107-WESLM,1,Yes,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,19.85,19.85,Yes,None,Electronic check
64,1,2,0107-YHINA,1,Yes,Male,0,No,Yes,1,Yes,Yes,No,No,Yes,No,Yes,Yes,1,Yes,99.75,99.75,Yes,Fiber optic,Electronic check
65,2,2,0111-KLBQG,1,Yes,Male,1,Yes,Yes,32,Yes,No,No,Yes,No,No,Yes,Yes,1,Yes,93.95,2861.45,No,Fiber optic,Mailed check
66,3,2,0112-QAWRZ,1,Yes,Male,0,Yes,Yes,16,Yes,Yes,No,No,Yes,No,Yes,No,1,Yes,90.8,1442.2,No,Fiber optic,Bank transfer (automatic)
67,1,1,0112-QWPNC,2,No,Male,0,Yes,No,49,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2,No,84.35,4059.35,Yes,DSL,Electronic check
68,3,1,0114-IGABW,3,No,Female,0,Yes,No,71,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,3,No,58.25,4145.9,No,DSL,Bank transfer (automatic)
69,1,2,0114-PEGZZ,1,No,Female,0,No,No,33,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,No,107.55,3645.5,No,Fiber optic,Electronic check
70,3,3,0114-RSRRW,1,Yes,Female,0,Yes,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,19.95,187.75,No,None,Bank transfer (automatic)
71,1,2,0115-TFERT,1,Yes,Male,0,Yes,No,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,Yes,111.2,2317.1,Yes,Fiber optic,Electronic check
72,3,1,0117-LFRMW,1,No,Male,0,Yes,Yes,37,No,No phone service,Yes,Yes,Yes,No,No,No,1,No,40.2,1448.8,Yes,DSL,Bank transfer (automatic)
73,4,2,0118-JPNOY,1,Yes,Female,1,No,No,26,Yes,No,Yes,No,No,No,Yes,No,1,Yes,85.8,2193.65,No,Fiber optic,Credit card (automatic)
74,2,1,0121-SNYRK,2,Yes,Male,0,No,No,50,No,No phone service,Yes,No,No,Yes,No,No,2,Yes,35.4,1748.9,No,DSL,Mailed check
75,1,2,0122-OAHPZ,1,Yes,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,No,1,Yes,73.85,511.25,Yes,Fiber optic,Electronic check
76,2,1,0123-CRBRT,3,No,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,No,88.1,5526.75,No,DSL,Mailed check
77,1,2,0125-LZQXK,1,Yes,Male,0,No,No,15,Yes,No,No,No,Yes,Yes,Yes,Yes,1,Yes,101.35,1553.95,Yes,Fiber optic,Electronic check
78,2,1,0128-MKWSG,1,No,Female,0,No,Yes,26,No,No phone service,Yes,No,No,Yes,No,Yes,1,No,45.8,1147,No,DSL,Mailed check
79,1,2,0129-KPTWJ,1,Yes,Male,0,Yes,No,72,Yes,No,No,No,Yes,No,Yes,Yes,1,Yes,94.65,6747.35,No,Fiber optic,Electronic check
80,3,3,0129-QMPDR,2,Yes,Male,0,Yes,Yes,44,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,20.5,865.05,No,None,Bank transfer (automatic)
81,4,2,0130-SXOUN,1,No,Male,0,No,No,66,Yes,Yes,No,Yes,No,No,No,Yes,1,No,89.4,5976.9,No,Fiber optic,Credit card (automatic)
82,1,2,0133-BMFZO,1,Yes,Female,0,No,No,2,Yes,No,Yes,Yes,No,Yes,No,No,1,Yes,86.25,181.65,Yes,Fiber optic,Electronic check
83,3,1,0134-XWXCE,2,No,Female,1,No,No,44,Yes,No,No,No,Yes,Yes,Yes,Yes,2,No,74.85,3268.05,No,DSL,Bank transfer (automatic)
84,3,2,0135-NMXAP,1,Yes,Female,0,No,No,12,Yes,Yes,No,Yes,No,No,Yes,No,1,Yes,89.75,1052.4,Yes,Fiber optic,Bank transfer (automatic)
85,1,2,0136-IFMYD,3,Yes,Male,1,Yes,No,69,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,Yes,109.95,7634.25,No,Fiber optic,Electronic check
86,2,2,0137-OCGAB,1,Yes,Female,0,No,No,1,Yes,Yes,No,Yes,No,No,No,No,1,Yes,80.2,80.2,Yes,Fiber optic,Mailed check
87,2,3,0137-UDEUO,1,No,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,19.85,63.75,Yes,None,Mailed check
88,1,2,0139-IVFJG,1,No,Female,0,Yes,No,2,Yes,No,Yes,Yes,No,No,Yes,No,1,No,90.35,190.5,No,Fiber optic,Electronic check
89,3,2,0141-YEAYS,1,Yes,Female,1,No,No,27,Yes,Yes,No,Yes,Yes,No,No,No,1,Yes,86.45,2401.05,No,Fiber optic,Bank transfer (automatic)
90,1,3,0142-GVYSN,1,Yes,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,20.3,511.25,No,None,Electronic check
91,1,2,0147-ESWWR,1,Yes,Female,1,Yes,No,39,Yes,Yes,No,No,No,Yes,Yes,Yes,1,Yes,101.25,3949.15,No,Fiber optic,Electronic check
92,3,2,0148-DCDOS,1,Yes,Male,0,No,No,25,Yes,Yes,No,No,No,No,Yes,Yes,1,Yes,94.7,2362.1,Yes,Fiber optic,Bank transfer (automatic)
93,2,2,0151-ONTOV,1,No,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,1,No,70.9,70.9,Yes,Fiber optic,Mailed check
94,1,1,0156-FVPTA,1,Yes,Male,0,Yes,No,22,Yes,No,Yes,No,No,Yes,No,No,1,Yes,54.2,1152.7,Yes,DSL,Electronic check
95,1,2,0164-APGRB,3,Yes,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,114.9,8496.7,No,Fiber optic,Electronic check
96,3,3,0164-XAIRP,3,Yes,Female,0,No,No,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,19.55,470.2,No,None,Bank transfer (automatic)
97,1,2,0168-XZKBB,1,Yes,Female,0,Yes,No,19,Yes,Yes,No,No,No,No,Yes,No,1,Yes,86.85,1564.4,No,Fiber optic,Electronic check
98,4,3,0174-QRVVY,3,No,Male,0,Yes,Yes,71,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,25.35,1847.55,No,None,Credit card (automatic)
99,3,2,0177-PXBAT,1,Yes,Male,1,Yes,No,33,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1,Yes,109.9,3694.7,No,Fiber optic,Bank transfer (automatic)
100,2,3,0178-CIIKR,1,No,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,19.95,58,No,None,Mailed check
101,1,2,0178-SZBHO,1,No,Male,0,Yes,Yes,47,Yes,Yes,No,Yes,No,No,Yes,No,1,No,87.2,4017.45,No,Fiber optic,Electronic check
102,2,2,0181-RITDD,3,No,Male,0,Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,No,108.15,6825.65,No,Fiber optic,Mailed check
103,3,2,0186-CAERR,2,Yes,Male,0,No,No,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,116.3,8309.55,No,Fiber optic,Bank transfer (automatic)
104,1,2,0187-QSXOE,1,Yes,Male,1,Yes,No,7,Yes,No,No,No,No,No,Yes,Yes,1,Yes,89.0,605.45,No,Fiber optic,Electronic check
105,2,2,0187-WZNAB,1,No,Female,0,Yes,Yes,27,Yes,No,Yes,No,No,No,No,No,1,No,74.4,1972.35,No,Fiber optic,Mailed check
106,2,3,0188-GWFLE,1,No,Male,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,20.05,33.7,No,None,Mailed check
107,3,1,0191-EQUUH,3,No,Female,0,No,Yes,25,No,No phone service,Yes,No,No,Yes,No,No,3,No,35.05,844.45,No,DSL,Bank transfer (automatic)
108,1,1,0191-ZHSKZ,1,Yes,Male,1,No,No,30,Yes,No,Yes,Yes,No,No,Yes,Yes,1,Yes,74.75,2111.3,No,DSL,Electronic check
109,4,2,0193-ESZXP,2,Yes,Female,1,Yes,No,58,Yes,No,Yes,Yes,No,Yes,Yes,Yes,2,Yes,105.5,6205.5,Yes,Fiber optic,Credit card (automatic)
110,1,2,0195-IESCP,1,Yes,Male,0,Yes,No,10,Yes,Yes,No,No,No,No,No,Yes,1,Yes,85.25,855.3,Yes,Fiber optic,Electronic check
111,4,2,0196-JTUQI,1,Yes,Female,0,No,No,9,Yes,Yes,No,No,No,No,No,No,1,Yes,75.2,633.85,No,Fiber optic,Credit card (automatic)
112,1,2,0196-VULGZ,1,Yes,Female,1,Yes,No,6,Yes,Yes,No,No,No,No,No,Yes,1,Yes,84.35,474.9,Yes,Fiber optic,Electronic check
113,3,2,0197-PNKNK,2,No,Female,0,Yes,Yes,69,Yes,Yes,Yes,No,Yes,No,No,No,2,No,84.45,5848.6,No,Fiber optic,Bank transfer (automatic)
114,3,2,0201-MIBOL,3,Yes,Female,1,No,No,66,Yes,Yes,Yes,No,No,No,Yes,Yes,3,Yes,102.4,6471.85,No,Fiber optic,Bank transfer (automatic)
115,4,2,0201-OAMXR,2,No,Female,0,No,No,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,No,115.55,8127.6,Yes,Fiber optic,Credit card (automatic)
116,3,3,0203-HHYIJ,2,No,Male,0,No,No,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,25.3,676.35,Yes,None,Bank transfer (automatic)
117,2,3,0206-OYVOC,3,Yes,Female,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,19.25,864.2,No,None,Mailed check
118,2,2,0206-TBWLC,2,Yes,Female,0,Yes,No,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,114.65,6049.5,No,Fiber optic,Mailed check
119,1,2,0207-MDKNV,1,No,Female,0,No,No,15,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1,No,105.1,1582.75,Yes,Fiber optic,Electronic check
120,3,3,0208-BPQEJ,1,No,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,19.4,198.1,No,None,Bank transfer (automatic)
121,1,1,0212-ISBBF,1,Yes,Female,0,No,No,22,No,No phone service,No,Yes,No,No,Yes,Yes,1,Yes,50.35,1098.85,No,DSL,Electronic check
122,3,1,0214-JHPFW,3,No,Female,0,Yes,No,70,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,3,No,57.8,4039.3,No,DSL,Bank transfer (automatic)
123,4,2,0215-BQKGS,1,Yes,Male,0,No,No,30,Yes,No,Yes,Yes,Yes,No,No,No,1,Yes,84.3,2438.6,No,Fiber optic,Credit card (automatic)
124,3,2,0218-QNVAS,2,No,Male,0,Yes,Yes,71,Yes,Yes,No,Yes,No,No,Yes,Yes,2,No,100.55,7113.75,No,Fiber optic,Bank transfer (automatic)
125,4,3,0219-QAERP,2,No,Male,0,Yes,No,30,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,19.8,576.65,No,None,Credit card (automatic)
126,3,2,0219-YTZUE,1,Yes,Male,0,Yes,Yes,4,Yes,Yes,No,Yes,Yes,No,No,No,1,Yes,84.8,371.9,Yes,Fiber optic,Bank transfer (automatic)
127,1,2,0220-EBGCE,1,Yes,Male,0,No,No,2,Yes,No,No,No,Yes,No,No,Yes,1,Yes,85.85,167.3,Yes,Fiber optic,Electronic check
128,3,3,0221-NAUXK,2,Yes,Male,0,No,Yes,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,19.95,219.5,No,None,Bank transfer (automatic)
129,1,2,0221-WMXNQ,1,No,Male,1,No,No,4,Yes,No,Yes,No,No,No,No,No,1,No,75.35,273.4,No,Fiber optic,Electronic check
130,4,1,0222-CNVPT,1,Yes,Male,1,No,No,52,No,No phone service,Yes,No,No,No,Yes,Yes,1,Yes,48.8,2555.05,No,DSL,Credit card (automatic)
131,1,1,0224-HJAPT,1,No,Male,0,No,No,5,Yes,Yes,No,No,No,No,No,No,1,No,47.15,223.15,Yes,DSL,Electronic check
132,2,3,0224-NIJLP,3,No,Male,0,Yes,Yes,8,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,20.15,165.5,No,None,Mailed check
133,1,1,0224-RLWWD,1,Yes,Female,1,No,No,2,Yes,No,No,No,No,No,No,No,1,Yes,44.3,89.3,No,DSL,Electronic check
134,1,2,0225-ZORZP,1,No,Male,0,No,No,3,Yes,No,No,Yes,No,No,No,Yes,1,No,84.3,235.05,No,Fiber optic,Electronic check
135,1,1,0228-MAUWC,1,No,Male,0,No,No,19,Yes,Yes,No,No,Yes,Yes,No,No,1,No,59.55,1144.6,No,DSL,Electronic check
136,3,1,0229-LFJAF,3,No,Male,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,No,69.65,4908.25,No,DSL,Bank transfer (automatic)
137,3,1,0230-UBYPQ,2,No,Male,1,Yes,No,63,No,No phone service,Yes,No,No,Yes,No,No,2,No,36.1,2298.9,No,DSL,Bank transfer (automatic)
138,3,1,0230-WEQUW,3,Yes,Male,0,Yes,No,66,No,No phone service,Yes,Yes,Yes,Yes,Yes,No,3,Yes,56.6,3789.2,No,DSL,Bank transfer (automatic)
139,1,2,0231-LXVAP,1,Yes,Male,0,No,No,1,Yes,No,No,No,No,Yes,No,No,1,Yes,75.9,75.9,Yes,Fiber optic,Electronic check
140,3,2,0233-FTHAV,2,Yes,Female,0,No,No,60,Yes,Yes,No,No,Yes,No,No,No,2,Yes,79.2,4765,No,Fiber optic,Bank transfer (automatic)
141,4,1,0234-TEVTT,2,No,Female,0,Yes,Yes,48,No,No phone service,Yes,No,Yes,No,No,Yes,2,No,45.0,2196.3,No,DSL,Credit card (automatic)
142,4,2,0235-KGSLC,1,Yes,Female,0,No,No,1,Yes,No,No,No,Yes,No,Yes,No,1,Yes,85.55,85.55,Yes,Fiber optic,Credit card (automatic)
143,1,2,0236-HFWSV,1,Yes,Male,0,No,No,15,Yes,Yes,No,No,No,No,Yes,Yes,1,Yes,93.35,1444.65,Yes,Fiber optic,Electronic check
144,3,2,0237-YFUTL,1,Yes,Female,0,Yes,No,50,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,Yes,109.65,5405.8,No,Fiber optic,Bank transfer (automatic)
145,4,1,0238-WHBIQ,3,No,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,No,89.7,6339.3,No,DSL,Credit card (automatic)
146,2,2,0239-OXEXL,1,No,Female,0,No,No,46,Yes,Yes,Yes,Yes,No,No,No,No,1,No,84.25,3847.6,No,Fiber optic,Mailed check
147,3,1,0244-LGNFY,3,No,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,No,92.65,6733,No,DSL,Bank transfer (automatic)
148,2,3,0247-SLUJI,1,No,Male,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,19.7,19.7,No,None,Mailed check
149,1,1,0248-IPDFW,1,Yes,Female,0,No,No,1,Yes,Yes,No,No,No,No,No,No,1,Yes,50.1,50.1,No,DSL,Electronic check
150,3,2,0248-PGHBZ,3,Yes,Female,1,No,No,67,Yes,No,Yes,Yes,No,Yes,Yes,No,3,Yes,92.45,6140.85,No,Fiber optic,Bank transfer (automatic)
151,1,1,0253-ZTEOB,3,No,Female,0,Yes,Yes,48,Yes,Yes,No,Yes,No,Yes,Yes,Yes,3,No,79.65,3870.3,No,DSL,Electronic check
152,1,2,0254-FNMCI,3,Yes,Female,0,No,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,109.9,7624.2,No,Fiber optic,Electronic check
